
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-05-18 15:41:15 .. ~ 0.29ms
 2026-05-18 15:41:15 .. ~ 499.12ms
 2026-05-18 15:41:16 .. ~ 0.37ms
 2026-05-18 15:41:16 .. ~ 500.56ms
 2026-05-18 15:41:17 .. ~ 0.36ms
 2026-05-18 15:41:17 .. ~ 3s
 2026-05-18 15:41:21 .. ~ 0.29ms
 2026-05-18 15:41:21 .. ~ 517.83ms
 2026-05-18 15:41:25 .. ~ 0.57ms
 2026-05-18 15:41:26 .. ~ 507.68ms
 2026-05-18 15:41:31 .. ~ 502.13ms
 2026-05-18 15:41:31 .. ~ 0.23ms
 2026-05-18 15:41:32 .. ~ 503.14ms
 2026-05-18 15:41:32 .. ~ 1s
 2026-05-18 15:41:34 .. ~ 509.08ms
 2026-05-18 15:41:34 .. ~ 5s
 2026-05-18 15:41:40 .. ~ 521.43ms
 2026-05-18 15:41:41 .. ~ 509.79ms
 2026-05-18 15:41:41 .. ~ 0.37ms
 2026-05-18 15:41:42 .. ~ 6s
 2026-05-18 15:41:48 .. ~ 0.19ms
 2026-05-18 15:41:49 .. ~ 501.63ms
 2026-05-18 15:41:50 .. ~ 0.23ms
 2026-05-18 15:41:50 .. ~ 512.39ms
 2026-05-18 15:41:56 .. ~ 515.79ms
 2026-05-18 15:41:56 .. ~ 1s
 2026-05-18 15:41:56 .. ~ 1s
 2026-05-18 15:41:58 .. ~ 0.42ms
 2026-05-18 15:54:58 .. ~ 502.16ms
 2026-05-18 15:54:59 .. ~ 498.02ms
 2026-05-18 15:55:00 .. ~ 503.09ms
 2026-05-18 15:55:00 .. ~ 513.62ms
 2026-05-18 15:55:00 .. ~ 1s
 2026-05-18 15:55:02 .. ~ 511.58ms
 2026-05-18 15:55:02 .. ~ 502.78ms
 2026-05-18 15:55:02 .. ~ 1s
 2026-05-18 15:55:03 .. ~ 0.46ms
 2026-05-18 15:55:04 .. ~ 512.80ms
 2026-05-18 15:55:04 .. ~ 1s
 2026-05-18 15:55:05 .. ~ 513.83ms
 2026-05-18 15:55:05 .. ~ 0.21ms
 2026-05-18 15:55:05 .. ~ 515.04ms
 2026-05-18 15:55:06 .. ~ 1.62ms
 2026-05-18 15:55:07 .. ~ 501.79ms
 2026-05-18 15:55:07 .. ~ 510.41ms
 2026-05-18 15:55:08 .. ~ 501.77ms
 2026-05-18 15:55:09 .. ~ 0.25ms
 2026-05-18 15:55:09 .. ~ 511.31ms
 2026-05-18 15:55:10 .. ~ 515.58ms
 2026-05-18 15:55:10 .. ~ 0.24ms
 2026-05-18 15:55:10 .. ~ 500.38ms
 2026-05-18 15:55:11 .. ~ 0.77ms
 2026-05-18 15:55:11 .. ~ 500.34ms
 2026-05-18 15:55:16 .. ~ 0.38ms
 2026-05-18 15:55:16 .. ~ 518.05ms
 2026-05-18 15:55:17 .. ~ 509.99ms
 2026-05-18 15:55:18 .. ~ 1m 27s
 2026-05-18 15:56:50 .. ~ 501.72ms
 2026-05-18 15:56:50 .. ~ 506.41ms
 2026-05-18 15:56:51 .. ~ 512.07ms
 2026-05-18 15:56:51 .. ~ 2s
 2026-05-18 15:57:01 .. ~ 513.87ms
 2026-05-18 15:57:01 .. ~ 519.95ms
 2026-05-18 15:57:02 .. ~ 502.18ms
 2026-05-18 15:57:02 .. ~ 57s
 2026-05-18 15:58:01 .. ~ 507.54ms
 2026-05-18 15:58:02 .. ~ 515.16ms
